timestamp_procesado,timestamp_lectura_csv,ruta_pasajero,tiempo_total_estimado_desde_entrada_min
2026-05-16 11:23:24,2026-05-16 11:45:18,checkin_seguridad_embarque,18.73
2026-05-16 11:23:24,2026-05-16 11:45:18,bagdrop_seguridad_pasaportes_embarque,17.15
2026-05-16 11:23:24,2026-05-16 11:45:18,bagdrop_seguridad_embarque,15.15
2026-05-16 11:23:24,2026-05-16 11:45:18,directo_seguridad_pasaportes_embarque,14.9
2026-05-16 11:23:24,2026-05-16 11:45:18,directo_seguridad_embarque,12.9
2026-05-16 11:23:27,2026-05-16 11:46:18,checkin_seguridad_pasaportes_embarque,21.33
2026-05-16 11:23:27,2026-05-16 11:46:18,checkin_seguridad_embarque,19.33
2026-05-16 11:23:27,2026-05-16 11:46:18,bagdrop_seguridad_pasaportes_embarque,17.75
2026-05-16 11:23:27,2026-05-16 11:46:18,bagdrop_seguridad_embarque,15.75
2026-05-16 11:23:27,2026-05-16 11:46:18,directo_seguridad_pasaportes_embarque,15.5
2026-05-16 11:23:27,2026-05-16 11:46:18,directo_seguridad_embarque,13.5
2026-05-16 11:23:30,2026-05-16 11:47:18,checkin_seguridad_pasaportes_embarque,23.9
2026-05-16 11:23:30,2026-05-16 11:47:18,checkin_seguridad_embarque,21.9
2026-05-16 11:23:30,2026-05-16 11:47:18,bagdrop_seguridad_pasaportes_embarque,19.9
2026-05-16 11:23:30,2026-05-16 11:47:18,bagdrop_seguridad_embarque,17.9
2026-05-16 11:23:30,2026-05-16 11:47:18,directo_seguridad_pasaportes_embarque,16.9
2026-05-16 11:23:30,2026-05-16 11:47:18,directo_seguridad_embarque,14.9
2026-05-16 11:23:33,2026-05-16 11:48:18,checkin_seguridad_pasaportes_embarque,25.48
2026-05-16 11:23:33,2026-05-16 11:48:18,checkin_seguridad_embarque,23.48
2026-05-16 11:23:33,2026-05-16 11:48:18,bagdrop_seguridad_pasaportes_embarque,21.15
2026-05-16 11:23:33,2026-05-16 11:48:18,bagdrop_seguridad_embarque,19.15
2026-05-16 11:23:33,2026-05-16 11:48:18,directo_seguridad_pasaportes_embarque,17.9
2026-05-16 11:23:33,2026-05-16 11:48:18,directo_seguridad_embarque,15.9
2026-05-16 11:23:36,2026-05-16 11:49:18,checkin_seguridad_pasaportes_embarque,28.05
2026-05-16 11:23:36,2026-05-16 11:49:18,checkin_seguridad_embarque,26.05
2026-05-16 11:23:36,2026-05-16 11:49:18,bagdrop_seguridad_pasaportes_embarque,23.05
2026-05-16 11:23:36,2026-05-16 11:49:18,bagdrop_seguridad_embarque,21.05
2026-05-16 11:23:36,2026-05-16 11:49:18,directo_seguridad_pasaportes_embarque,19.3
2026-05-16 11:23:36,2026-05-16 11:49:18,directo_seguridad_embarque,17.3
2026-05-16 11:23:39,2026-05-16 11:50:18,checkin_seguridad_pasaportes_embarque,29.72
2026-05-16 11:23:39,2026-05-16 11:50:18,checkin_seguridad_embarque,27.72
2026-05-16 11:23:39,2026-05-16 11:50:18,bagdrop_seguridad_pasaportes_embarque,24.6
